articulated_course_year,hs_grad_year,hs_grad_status,gender,ethnicity,high_school,subject,course,hs_course_grade,final_exam_grade,credit_recommended,credit_status,id,took_mcc_course_as_non_hs_student,took_mcc_course_in_same_discipline,earned_degree,earned_coa,earned_cop
2022-2023,2024,Graduate,Female,Asian,San Dieguito Academy,ART,AUTO102,B,A,Yes,Awarded,8579,Not Applicable,No,Not Applicable,No,Not Applicable
2020-2021,2024,Not Yet a Graduate,Male,Hispanic,Canyon Crest Academy,BUS,NURS151,A,D,Yes,Awarded,12080,No,Not Applicable,Yes,Not Applicable,No
2020-2021,2022,Graduate,Male,White,Torrey Pines High School,BUS,NURS151,C,A,Yes,Awarded,12347,No,No,No,No,No
2020-2021,2022,Graduate,Female,Asian,Torrey Pines High School,AUTO,MAT110,A,A,No,Awarded,5283,No,No,No,No,No
2020-2021,2022,Graduate,Male,Hispanic,Oceanside High School,NURS,NURS151,A,A,No,Denied,7696,No,No,No,No,No
2021-2022,2022,Graduate,Female,Hispanic,La Costa Canyon High School,NURS,BUS132,B,A,Yes,Awarded,8652,No,No,No,No,No
2022-2023,2024,Not Yet a Graduate,Male,Hispanic,San Dieguito Academy,BUS,HORT166,A,F,No,Denied,4397,No,No,No,No,No
2022-2023,2026,Graduate,Male,White,Poway High School,BUS,CS101,C,A,Yes,Awarded,1926,No,No,No,No,Not Applicable
2022-2023,2023,Graduate,Male,Two or More Races,Canyon Crest Academy,NURS,BUS130,A,B,Yes,Awarded,10612,Yes,No,No,No,No
2022-2023,2023,Graduate,Female,Hispanic,Torrey Pines High School,BUS,BUS130,A,C,Yes,Awarded,6039,No,No,No,No,No
2022-2023,2027,Not Yet a Graduate,Male,White,San Dieguito Academy,HORT,BUS132,A,B,Yes,Awarded,6779,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
2020-2021,2022,Graduate,Male,Two or More Races,San Dieguito Academy,ACCT,BUS132,A,B,Yes,Awarded,3728,No,No,No,No,No
2020-2021,2024,Not Yet a Graduate,Male,Asian,Carlsbad High School,BUS,AUTO102,A,A,Yes,Awarded,12545,No,No,No,Yes,Not Applicable
2020-2021,2020,Graduate,Male,White,San Dieguito Academy,CS,CS101,A,A,Yes,Awarded,9177,No,No,No,Not Applicable,No
2021-2022,2023,Graduate,Male,Asian,Altus Schools,NURS,BUS130,A,A,Yes,Awarded,12224,No,Not Applicable,No,No,Not Applicable
2020-2021,2022,Graduate,Male,Hispanic,Canyon Crest Academy,BUS,CS101,B,B,Yes,Awarded,8702,No,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Male,White,Canyon Crest Academy,BUS,ART251,C,A,Yes,Awarded,6669,Not Applicable,No,No,No,Not Applicable
2021-2022,2023,Not Yet a Graduate,Male,White,La Costa Canyon High School,BUS,BUS120,A,A,Yes,Awarded,12077,No,No,No,No,No
2020-2021,2020,Graduate,Female,White,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,11708,No,No,No,No,No
2022-2023,2024,Graduate,Male,White,Torrey Pines High School,AUTO,ART251,A,A,No,Awarded,10865,Yes,No,No,No,No
2022-2023,2023,Graduate,Male,Unknown/Unreported,Canyon Crest Academy,HORT,BUS132,C,A,Yes,Awarded,10684,No,No,No,No,No
2021-2022,2025,Graduate,Male,Two or More Races,Oceanside High School,BUS,ACCT158,A,A,No,Awarded,11946,Not Applicable,Not Applicable,Not Applicable,No,No
2022-2023,2026,Not Yet a Graduate,Female,Hispanic,Torrey Pines High School,NURS,AUTO102,A,B,Yes,Awarded,7747,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2021-2022,2025,Graduate,Male,White,Sage Creek High School,BUS,BUS120,A,A,Yes,Awarded,6934,Not Applicable,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Male,Hispanic,Carlsbad High School,NURS,NURS151,B,C,Yes,Awarded,756,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2020-2021,2025,Not Yet a Graduate,Female,Hispanic,El Camino High School,BUS,BUS120,A,A,Yes,Awarded,4593,No,No,Not Applicable,No,No
2021-2022,2022,Graduate,Male,Hispanic,Torrey Pines High School,BUS,BUS120,B,A,Yes,Awarded,6852,Yes,No,No,No,No
2021-2022,2025,Graduate,Male,Hispanic,Carlsbad High School,BUS,CHLD299,A,A,No,Awarded,6595,Not Applicable,Not Applicable,No,Not Applicable,Yes
2020-2021,2021,Graduate,Female,White,Torrey Pines High School,AUTO,FILM101,A,B,Yes,Awarded,12239,No,No,No,No,No
2021-2022,2023,Graduate,Female,White,Sage Creek High School,BUS,BUS132,A,A,Yes,Awarded,7162,No,No,No,No,No
2022-2023,2024,Graduate,Male,Hispanic,Canyon Crest Academy,ACCT,ACCT158,A,B,Yes,Denied,7346,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2023,Graduate,Female,Unknown/Unreported,Torrey Pines High School,BUS,BUS120,A,B,Yes,Awarded,7179,No,No,No,No,No
2020-2021,2023,Graduate,Unknown/Unreported,Asian,Sage Creek High School,BUS,BUS130,A,,Yes,Awarded,3445,No,No,No,No,No
2022-2023,2024,Graduate,Female,Asian,Altus Schools,ACCT,ACCT158,B,B,Yes,Awarded,2311,No,Yes,Not Applicable,Not Applicable,No
2021-2022,2022,Graduate,Male,White,Oceanside High School,KINE,CSIT101,,,No,Awarded,693,Yes,No,No,Not Applicable,No
2021-2022,2025,Graduate,Female,White,Torrey Pines High School,BUS,BUS130,A,A,Yes,Awarded,9611,Yes,No,Not Applicable,Not Applicable,No
2021-2022,2024,Graduate,Male,Hispanic,La Costa Canyon High School,MAT,DESN100,A,F,Yes,Awarded,10987,No,No,No,No,No
